date,positiveIncrease,deathIncrease
2021-03-07,41835,842
2021-03-06,60015,1680
2021-03-05,68787,2221
2021-03-04,65487,1743
2021-03-03,66836,2449
2021-03-02,54248,1728
2021-03-01,48092,1241
2021-02-28,54349,1051
2021-02-27,71245,1847
2021-02-26,74857,2141
2021-02-25,75565,3138
2021-02-24,73258,2447
2021-02-23,69105,2241
2021-02-22,52530,1235
2021-02-21,58702,1287
2021-02-20,72354,2160
2021-02-19,74676,2477
2021-02-18,66824,2616
2021-02-17,66839,2348
2021-02-16,56312,1353
2021-02-15,55077,1078
2021-02-14,72164,1366
2021-02-13,90642,3467
2021-02-12,101030,5427
2021-02-11,102417,3873
2021-02-10,95194,3445
2021-02-09,92986,2795
2021-02-08,77737,1309
2021-02-07,95994,1475
2021-02-06,114557,2994
2021-02-05,131146,3543
2021-02-04,123907,5212
2021-02-03,116960,3685
2021-02-02,117616,3486
2021-02-01,120200,1562
2021-01-31,119367,2059
2021-01-30,148824,2982
2021-01-29,167111,3503
2021-01-28,157306,4011
2021-01-27,153985,4077
2021-01-26,146448,3734
2021-01-25,133454,1593
2021-01-24,144234,1944
2021-01-23,177118,3591
2021-01-22,190915,3980
2021-01-21,186275,3878
2021-01-20,189203,4409
2021-01-19,146626,2141
2021-01-18,150792,1395
2021-01-17,187218,2053
2021-01-16,218085,3709
2021-01-15,246454,3679
2021-01-14,225616,3915
2021-01-13,224491,4087
2021-01-12,218020,4064
2021-01-11,195255,1733
2021-01-10,228732,2068
2021-01-09,269368,3537
2021-01-08,295121,3780
2021-01-07,272043,4079
2021-01-06,250184,3902
2021-01-05,219075,3484
2021-01-04,179571,1547
2021-01-03,208457,1455
2021-01-02,280318,2406
2021-01-01,182906,2592
2020-12-31,226246,3297
2020-12-30,229496,3900
2020-12-29,199679,3289
2020-12-28,164127,1490
2020-12-27,153540,1397
2020-12-26,190594,1426
2020-12-25,126796,1553
2020-12-24,206684,2958
2020-12-23,224526,3393
2020-12-22,193008,3137
2020-12-21,179406,1480
2020-12-20,197494,1668
2020-12-19,204873,2708
2020-12-18,241786,2866
2020-12-17,242970,3465
2020-12-16,234288,3453
2020-12-15,193218,2924
2020-12-14,193286,1357
2020-12-13,187251,1501
2020-12-12,226904,2497
2020-12-11,236933,2747
2020-12-10,220846,3132
2020-12-09,216728,3169
2020-12-08,217844,2680
2020-12-07,181897,1291
2020-12-06,182580,1163
2020-12-05,219070,2486
2020-12-04,230313,2563
2020-12-03,216271,2822
2020-12-02,203429,2811
2020-12-01,181183,2489
2020-11-30,150031,1037
2020-11-29,137254,825
2020-11-28,151469,1243
2020-11-27,198874,1404
2020-11-26,129764,1392
2020-11-25,188496,2281
2020-11-24,166503,2091
2020-11-23,154696,853
2020-11-22,154188,923
2020-11-21,186385,1551
2020-11-20,197164,1910
2020-11-19,187932,2010
2020-11-18,168220,1885
2020-11-17,159826,1553
2020-11-16,149977,607
2020-11-15,147062,712
2020-11-14,167726,1353
2020-11-13,174633,1301
2020-11-12,157542,1112
2020-11-11,149333,1577
2020-11-10,135569,1358
2020-11-09,118403,577
2020-11-08,112445,513
2020-11-07,132113,1125
2020-11-06,129990,1185
2020-11-05,119023,1154
2020-11-04,105996,1131
2020-11-03,119949,1517
2020-11-02,83454,475
2020-11-01,141974,410
2020-10-31,91293,958
2020-10-30,97942,947
2020-10-29,89365,1060
2020-10-28,79700,1047
2020-10-27,72255,922
2020-10-26,63430,397
2020-10-25,64471,391
2020-10-24,83792,896
2020-10-23,82575,949
2020-10-22,72273,1094
2020-10-21,62856,1051
2020-10-20,60574,833
2020-10-19,57650,443
2020-10-18,47957,405
2020-10-17,57675,780
2020-10-16,68505,891
2020-10-15,63641,928
2020-10-14,57240,801
2020-10-13,46914,718
2020-10-12,43248,284
2020-10-11,46723,472
2020-10-10,57543,690
2020-10-09,57085,914
2020-10-08,55308,979
2020-10-07,51216,929
2020-10-06,38846,613
2020-10-05,37752,331
2020-10-04,38165,380
2020-10-03,50874,738
2020-10-02,49427,842
2020-10-01,45720,862
2020-09-30,44909,1064
2020-09-29,36766,724
2020-09-28,35376,246
2020-09-27,34990,310
2020-09-26,47227,873
2020-09-25,55278,847
2020-09-24,43341,938
2020-09-23,39498,1156
2020-09-22,48986,859
2020-09-21,39162,281
2020-09-20,35533,327
2020-09-19,45668,747
2020-09-18,46889,901
2020-09-17,43642,880
2020-09-16,40319,1190
2020-09-15,34778,1034
2020-09-14,33572,407
2020-09-13,34579,392
2020-09-12,41850,817
2020-09-11,44698,1015
2020-09-10,37386,1161
2020-09-09,30756,1088
2020-09-08,22310,347
2020-09-07,28117,227
2020-09-06,33033,452
2020-09-05,44860,926
2020-09-04,51600,999
2020-09-03,44631,1072
2020-09-02,30667,1035
2020-09-01,42242,1014
2020-08-31,31720,380
2020-08-30,38766,477
2020-08-29,43995,1017
2020-08-28,46115,1020
2020-08-27,44111,1128
2020-08-26,44331,1300
2020-08-25,36839,1140
2020-08-24,34543,341
2020-08-23,37900,577
2020-08-22,46033,1035
2020-08-21,46477,1119
2020-08-20,43844,1129
2020-08-19,45073,1411
2020-08-18,40070,1179
2020-08-17,37751,411
2020-08-16,42503,617
2020-08-15,56003,1227
2020-08-14,57144,1226
2020-08-13,51763,1163
2020-08-12,56186,1517
2020-08-11,54935,1320
2020-08-10,41370,430
2020-08-09,50766,621
2020-08-08,53492,1086
2020-08-07,60837,1322
2020-08-06,54045,1242
2020-08-05,52691,1354
2020-08-04,51205,1242
2020-08-03,42743,516
2020-08-02,53322,496
2020-08-01,60640,1201
2020-07-31,67835,1324
2020-07-30,68979,1250
2020-07-29,64156,1505
2020-07-28,58452,1111
2020-07-27,54484,1066
2020-07-26,60768,561
2020-07-25,64788,1012
2020-07-24,75095,1174
2020-07-23,71426,1071
2020-07-22,69442,1149
2020-07-21,62887,1043
2020-07-20,56709,376
2020-07-19,64207,526
2020-07-18,64773,877
2020-07-17,76498,938
2020-07-16,70493,940
2020-07-15,69372,864
2020-07-14,58618,742
2020-07-13,57144,329
2020-07-12,61602,471
2020-07-11,62584,753
2020-07-10,67108,841
2020-07-09,59063,862
2020-07-08,62815,819
2020-07-07,50991,906
2020-07-06,40902,233
2020-07-05,45374,214
2020-07-04,54846,295
2020-07-03,54214,602
2020-07-02,53511,699
2020-07-01,51044,696
2020-06-30,47032,583
2020-06-29,39368,336
2020-06-28,41729,271
2020-06-27,43104,510
2020-06-26,44300,608
2020-06-25,39720,654
2020-06-24,39131,704
2020-06-23,33446,728
2020-06-22,26817,288
2020-06-21,29182,291
2020-06-20,32232,611
2020-06-19,30887,657
2020-06-18,26984,679
2020-06-17,24206,778
2020-06-16,22857,726
2020-06-15,18236,383
2020-06-14,21629,354
2020-06-13,25459,690
2020-06-12,23152,766
2020-06-11,21976,896
2020-06-10,20873,892
2020-06-09,16933,894
2020-06-08,16935,672
2020-06-07,19080,450
2020-06-06,22669,709
2020-06-05,23046,832
2020-06-04,20512,882
2020-06-03,20164,973
2020-06-02,19909,982
2020-06-01,20029,676
2020-05-31,21694,654
2020-05-30,23543,921
2020-05-29,23624,1171
2020-05-28,22844,1235
2020-05-27,19193,1340
2020-05-26,16676,668
2020-05-25,18543,556
2020-05-24,19122,689
2020-05-23,22482,1035
2020-05-22,24127,1286
2020-05-21,26751,1381
2020-05-20,21371,1395
2020-05-19,20700,1327
2020-05-18,20613,853
2020-05-17,20384,862
2020-05-16,23835,1249
2020-05-15,25407,1537
2020-05-14,26796,1846
2020-05-13,21481,1729
2020-05-12,22521,1518
2020-05-11,18080,889
2020-05-10,21112,1027
2020-05-09,25280,1459
2020-05-08,27198,1788
2020-05-07,27228,2732
2020-05-06,25312,1931
2020-05-05,22392,2496
2020-05-04,22106,983
2020-05-03,25759,1247
2020-05-02,29151,1521
2020-05-01,32880,1812
2020-04-30,30063,2153
2020-04-29,26179,2689
2020-04-28,25232,2078
2020-04-27,22404,1274
2020-04-26,27324,1212
2020-04-25,40697,1634
2020-04-24,31217,1973
2020-04-23,31938,1806
2020-04-22,29273,2150
2020-04-21,27354,2478
2020-04-20,24376,1814
2020-04-19,26930,1765
2020-04-18,27573,1896
2020-04-17,31500,2116
2020-04-16,31266,2196
2020-04-15,29834,2541
2020-04-14,25943,2356
2020-04-13,24136,1630
2020-04-12,28168,1698
2020-04-11,31323,2079
2020-04-10,33778,2081
2020-04-09,34992,2054
2020-04-08,30964,1999
2020-04-07,30416,2042
2020-04-06,28260,1314
2020-04-05,25843,1340
2020-04-04,33122,1478
2020-04-03,31835,1288
2020-04-02,28135,1175
2020-04-01,26204,1006
2020-03-31,25000,909
2020-03-30,21139,584
2020-03-29,19683,506
2020-03-28,19785,550
2020-03-27,19215,411
2020-03-26,17592,313
2020-03-25,12657,241
2020-03-24,10896,235
2020-03-23,11190,102
2020-03-22,9228,145
2020-03-21,6940,62
2020-03-20,6100,70
2020-03-19,4606,51
2020-03-18,3357,26
2020-03-17,2128,24
2020-03-16,1711,22
2020-03-15,1262,15
2020-03-14,1026,8
2020-03-13,858,5
2020-03-12,677,9
2020-03-11,418,6
2020-03-10,436,2
2020-03-09,304,4
2020-03-08,170,4
2020-03-07,142,1
2020-03-06,138,6
2020-03-05,65,4
2020-03-04,128,2
2020-03-03,42,3
2020-03-02,30,3
2020-03-01,24,3
2020-02-29,3,1
2020-02-28,2,2
2020-02-27,1,0
2020-02-26,2,2
2020-02-25,1,0
2020-02-24,1,0
2020-02-23,1,0
2020-02-22,0,0
2020-02-21,0,0
2020-02-20,0,0
2020-02-19,0,0
2020-02-18,0,0
2020-02-17,0,0
2020-02-16,0,0
2020-02-15,0,0
2020-02-14,1,0
2020-02-13,1,0
2020-02-12,0,0
2020-02-11,0,0
2020-02-10,0,0
2020-02-09,0,0
2020-02-08,0,0
2020-02-07,0,0
2020-02-06,2,0
2020-02-05,0,0
2020-02-04,0,0
2020-02-03,1,0
2020-02-02,0,0
2020-02-01,0,0
2020-01-31,0,0
2020-01-30,0,0
2020-01-29,0,0
2020-01-28,0,0
2020-01-27,0,0
2020-01-26,0,0
2020-01-25,0,0
2020-01-24,0,0
2020-01-23,0,0
2020-01-22,0,0
2020-01-21,1,0
2020-01-20,0,0
2020-01-19,1,0
2020-01-18,0,0
2020-01-17,0,0
2020-01-16,0,0
2020-01-15,0,0
2020-01-14,0,0
2020-01-13,0,0
